Başlangıç Tarihi,Bitiş Tarihi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı
2024-05-31,2024-06-07,820,ardahan gri,baklava,38.0,,6.0,1.0
2024-05-31,2024-06-07,830,ardahan gri,karışık çizgi,26.0,,9.0,6.0
2024-05-31,2024-06-07,840,,,,,,
2024-05-31,2024-06-07,860,ardahan gri,iki göbek,32.0,11.0,6.0,9.0
2024-05-31,2024-06-07,900,pvc gri,yavru kanat,,,,
2024-05-31,2024-06-07,920,pvc gri,baklava,5.0,,,
2024-05-31,2024-06-07,930,pvc gri,karışık çizgi,11.0,1.0,1.0,2.0
2024-05-31,2024-06-07,960,pvc gri,iki göbek,19.0,12.0,,
2024-06-07,2024-06-14,100,italyan ceviz,yavru kanat,,,,
2024-06-07,2024-06-14,110,italyan ceviz,madra,3.0,,1.0,
2024-06-07,2024-06-14,120,italyan ceviz,baklava,10.0,,,
2024-06-07,2024-06-14,130,italyan ceviz,karışık çizgi,7.0,,4.0,
2024-06-07,2024-06-14,140,,,,,,
2024-06-07,2024-06-14,160,italyan ceviz,iki göbek,24.0,2.0,1.0,1.0
2024-06-07,2024-06-14,200,koyu ceviz,yavru kanat,,,,
2024-06-07,2024-06-14,220,koyu ceviz,baklava,5.0,2.0,,
2024-06-07,2024-06-14,230,koyu ceviz,karışık çizgi,13.0,1.0,11.0,
2024-06-07,2024-06-14,240,,,,,,
2024-06-07,2024-06-14,260,koyu ceviz,iki göbek,21.0,1.0,,2.0
2024-06-07,2024-06-14,300,gold ceviz,yavru kanat,,,,
2024-06-07,2024-06-14,310,gold ceviz,madra,5.0,,2.0,
2024-06-07,2024-06-14,320,gold ceviz,baklava,3.0,,,
2024-06-07,2024-06-14,330,gold ceviz,karışık çizgi,1.0,,,
2024-06-07,2024-06-14,340,,,,,,
2024-06-07,2024-06-14,360,gold ceviz,iki göbek,5.0,,1.0,1.0
2024-06-07,2024-06-14,400,ABD ceviz,yavru kanat,,,,
2024-06-07,2024-06-14,410,ABD ceviz,madra,,,2.0,
2024-06-07,2024-06-14,420,ABD ceviz,baklava,5.0,,2.0,
2024-06-07,2024-06-14,430,ABD ceviz,karışık çizgi,,,4.0,
2024-06-07,2024-06-14,440,,,,,,
2024-06-07,2024-06-14,460,ABD ceviz,iki göbek,,,,
2024-06-07,2024-06-14,500,wenge,yavru kanat,,,,
2024-06-07,2024-06-14,520,wenge,baklava,3.0,,3.0,
2024-06-07,2024-06-14,530,wenge,karışık çizgi,1.0,,,
2024-06-07,2024-06-14,540,,,,,,
2024-06-07,2024-06-14,560,wenge,iki göbek,13.0,2.0,3.0,1.0
2024-06-07,2024-06-14,600,bute beyaz,yavru kanat,,,,
2024-06-07,2024-06-14,610,bute beyaz,madra,35.0,4.0,8.0,15.0
2024-06-07,2024-06-14,620,bute beyaz,baklava,6.0,,1.0,
2024-06-07,2024-06-14,630,bute beyaz,karışık çizgi,40.0,5.0,30.0,22.0
2024-06-07,2024-06-14,640,,,,,,
2024-06-07,2024-06-14,660,bute beyaz,iki göbek,182.0,19.0,86.0,8.0
2024-06-07,2024-06-14,700,küp akça,yavru kanat,,,,
2024-06-07,2024-06-14,720,küp akça,baklava,28.0,1.0,1.0,5.0
2024-06-07,2024-06-14,730,küp akça,karışık çizgi,,,,2.0
2024-06-07,2024-06-14,740,,,,,,
2024-06-07,2024-06-14,760,küp akça,iki göbek,47.0,3.0,12.0,
2024-06-07,2024-06-14,800,ardahan gri,yavru kanat,,,,
2024-06-07,2024-06-14,810,ardahan gri,madra,43.0,2.0,1.0,18.0
2024-06-07,2024-06-14,820,ardahan gri,baklava,5.0,,,
2024-06-07,2024-06-14,830,ardahan gri,karışık çizgi,61.0,,6.0,2.0
2024-06-07,2024-06-14,840,,,,,,
2024-06-07,2024-06-14,860,ardahan gri,iki göbek,145.0,6.0,23.0,18.0
2024-06-07,2024-06-14,900,pvc gri,yavru kanat,,,,
2024-06-07,2024-06-14,920,pvc gri,baklava,8.0,,,1.0
2024-06-07,2024-06-14,930,pvc gri,karışık çizgi,40.0,2.0,1.0,2.0
2024-06-07,2024-06-14,960,pvc gri,iki göbek,55.0,3.0,7.0,5.0
2024-06-28,2024-07-05,100,italyan ceviz,yavru kanat,,,,
2024-06-28,2024-07-05,110,italyan ceviz,madra,45.0,3.0,12.0,9.0
2024-06-28,2024-07-05,120,italyan ceviz,baklava,21.0,3.0,1.0,2.0
2024-06-28,2024-07-05,130,italyan ceviz,karışık çizgi,102.0,3.0,25.0,2.0
2024-06-28,2024-07-05,140,,,,,1.0,
2024-06-28,2024-07-05,160,italyan ceviz,iki göbek,117.0,4.0,17.0,6.0
2024-06-28,2024-07-05,200,koyu ceviz,yavru kanat,,,,
2024-06-28,2024-07-05,220,koyu ceviz,baklava,2.0,,,
2024-06-28,2024-07-05,230,koyu ceviz,karışık çizgi,1.0,,,1.0
2024-06-28,2024-07-05,240,,,,,,
2024-06-28,2024-07-05,260,koyu ceviz,iki göbek,29.0,1.0,7.0,
2024-06-28,2024-07-05,300,gold ceviz,yavru kanat,,,,
2024-06-28,2024-07-05,310,gold ceviz,madra,2.0,,2.0,1.0
2024-06-28,2024-07-05,320,gold ceviz,baklava,14.0,,2.0,
2024-06-28,2024-07-05,330,gold ceviz,karışık çizgi,7.0,1.0,,
2024-06-28,2024-07-05,340,,,,,,
2024-06-28,2024-07-05,360,gold ceviz,iki göbek,14.0,3.0,,8.0
2024-06-28,2024-07-05,400,ABD ceviz,yavru kanat,,,,
2024-06-28,2024-07-05,410,ABD ceviz,madra,17.0,1.0,,1.0
2024-06-28,2024-07-05,420,ABD ceviz,baklava,44.0,,12.0,3.0
2024-06-28,2024-07-05,430,ABD ceviz,karışık çizgi,18.0,,2.0,
2024-06-28,2024-07-05,440,,,,,,
2024-06-28,2024-07-05,460,ABD ceviz,iki göbek,10.0,,1.0,
2024-06-28,2024-07-05,500,wenge,yavru kanat,,,,
2024-06-28,2024-07-05,520,wenge,baklava,7.0,,,1.0
2024-06-28,2024-07-05,530,wenge,karışık çizgi,5.0,,5.0,
2024-06-28,2024-07-05,540,,,,,,
2024-06-28,2024-07-05,560,wenge,iki göbek,20.0,1.0,3.0,2.0
2024-06-28,2024-07-05,600,bute beyaz,yavru kanat,,,,
2024-06-28,2024-07-05,610,bute beyaz,madra,45.0,3.0,4.0,13.0
2024-06-28,2024-07-05,620,bute beyaz,baklava,24.0,,9.0,3.0
2024-06-28,2024-07-05,630,bute beyaz,karışık çizgi,103.0,2.0,22.0,10.0
2024-06-28,2024-07-05,640,,,,,,1.0
2024-06-28,2024-07-05,660,bute beyaz,iki göbek,179.0,21.0,36.0,51.0
2024-06-28,2024-07-05,700,küp akça,yavru kanat,,,,
2024-06-28,2024-07-05,720,küp akça,baklava,17.0,1.0,8.0,3.0
2024-06-28,2024-07-05,730,küp akça,karışık çizgi,13.0,,,4.0
2024-06-28,2024-07-05,740,,,,,,
2024-06-28,2024-07-05,760,küp akça,iki göbek,51.0,9.0,3.0,
2024-06-28,2024-07-05,800,ardahan gri,yavru kanat,,,,
2024-06-28,2024-07-05,810,ardahan gri,madra,22.0,,,2.0
2024-06-28,2024-07-05,820,ardahan gri,baklava,29.0,,5.0,
2024-06-28,2024-07-05,830,ardahan gri,karışık çizgi,17.0,2.0,7.0,
2024-06-28,2024-07-05,840,,,,,,
2024-06-28,2024-07-05,860,ardahan gri,iki göbek,8.0,1.0,8.0,1.0
2024-06-28,2024-07-05,900,pvc gri,yavru kanat,,,,
2024-06-28,2024-07-05,920,pvc gri,baklava,13.0,,,
2024-06-28,2024-07-05,930,pvc gri,karışık çizgi,14.0,,2.0,
2024-06-28,2024-07-05,960,pvc gri,iki göbek,97.0,4.0,7.0,8.0
2024-07-05,2024-07-12,100,italyan ceviz,yavru kanat,,,,
2024-07-05,2024-07-12,110,italyan ceviz,madra,23.0,1.0,8.0,13.0
2024-07-05,2024-07-12,120,italyan ceviz,baklava,30.0,,,1.0
2024-07-05,2024-07-12,130,italyan ceviz,karışık çizgi,48.0,,8.0,10.0
2024-07-05,2024-07-12,140,,,1.0,,,
2024-07-05,2024-07-12,160,italyan ceviz,iki göbek,53.0,,,10.0
2024-07-05,2024-07-12,200,koyu ceviz,yavru kanat,,,,
2024-07-05,2024-07-12,220,koyu ceviz,baklava,6.0,,1.0,
2024-07-05,2024-07-12,230,koyu ceviz,karışık çizgi,37.0,,9.0,6.0
2024-07-05,2024-07-12,240,,,,,,
2024-07-05,2024-07-12,260,koyu ceviz,iki göbek,35.0,,3.0,
2024-07-05,2024-07-12,300,gold ceviz,yavru kanat,,,,
2024-07-05,2024-07-12,310,gold ceviz,madra,,,1.0,
2024-07-05,2024-07-12,320,gold ceviz,baklava,9.0,3.0,,1.0
2024-07-05,2024-07-12,330,gold ceviz,karışık çizgi,70.0,,2.0,1.0
2024-07-05,2024-07-12,340,,,,,,
2024-07-05,2024-07-12,360,gold ceviz,iki göbek,16.0,,2.0,
2024-07-05,2024-07-12,400,ABD ceviz,yavru kanat,,,,
2024-07-05,2024-07-12,410,ABD ceviz,madra,1.0,,,
2024-07-05,2024-07-12,420,ABD ceviz,baklava,6.0,1.0,,
2024-07-05,2024-07-12,430,ABD ceviz,karışık çizgi,2.0,,,
2024-07-05,2024-07-12,440,,,,,,
2024-07-05,2024-07-12,460,ABD ceviz,iki göbek,8.0,,4.0,2.0
2024-07-05,2024-07-12,500,wenge,yavru kanat,,,,
2024-07-05,2024-07-12,520,wenge,baklava,10.0,,1.0,
2024-07-05,2024-07-12,530,wenge,karışık çizgi,1.0,,1.0,
2024-07-05,2024-07-12,540,,,,,,
2024-07-05,2024-07-12,560,wenge,iki göbek,3.0,,1.0,1.0
2024-07-05,2024-07-12,600,bute beyaz,yavru kanat,,,,
2024-07-05,2024-07-12,610,bute beyaz,madra,21.0,1.0,9.0,6.0
2024-07-05,2024-07-12,620,bute beyaz,baklava,9.0,1.0,,
2024-07-05,2024-07-12,630,bute beyaz,karışık çizgi,113.0,3.0,29.0,19.0
2024-07-05,2024-07-12,640,,,,,,
2024-07-05,2024-07-12,660,bute beyaz,iki göbek,164.0,5.0,4.0,61.0
2024-07-05,2024-07-12,700,küp akça,yavru kanat,,,,
2024-07-05,2024-07-12,720,küp akça,baklava,19.0,,,1.0
2024-07-05,2024-07-12,730,küp akça,karışık çizgi,56.0,1.0,19.0,5.0
2024-07-05,2024-07-12,740,,,,,,
2024-07-05,2024-07-12,760,küp akça,iki göbek,149.0,8.0,40.0,23.0
2024-07-05,2024-07-12,800,ardahan gri,yavru kanat,,,,
2024-07-05,2024-07-12,810,ardahan gri,madra,71.0,2.0,11.0,9.0
